"id";"name";"num_affiliation";"primary_color";"secondary_color";"city"
1;"RED STAR F.C.";500002;"#006400";"";""
2;"VITRY C.A.";500004;"#006400";"#FFD41C";""
3;"CLICHY S/SEINE U.S.";500005;"#000000";"#dc143c";""
4;"GARENNE COLOMBES A.F.";500009;"#006400";"#ffffff";""
5;"CHARENTON C.A.P.";500012;"#dc143c";"#092669";""
6;"JEANNE D  ARC ST SERVAN";500014;"#ffffff";"#092669";""
7;"ST. RENNAIS F.C.";500015;"#dc143c";"#000000";""
8;"ST. LAVALLOIS MAYENNE F.C.";500016;"#000000";"";""
9;"LA TOUR D  AUVERGNE RENNES";500018;"#000000";"";""
10;"A.S. BRESTOISE";500019;"#092669";"";""
11;"STADE BORDELAIS";500021;"#ffffff";"#000000";""
12;"ST. BRESTOIS 29";500024;"";"";""
13;"PARIS UNIVERSITE CLUB";500025;"#4b0082";"#ffffff";""
14;"U.S. ST MALO";500026;"";"";""
15;"A.S. CHEMINOTS RENNAIS";500029;"#ffffff";"#000000";""
16;"CHOISY LE ROI A.S.";500031;"#092669";"#ffffff";""
17;"CADETS DE BRETAGNE RENNES";500034;"#092669";"#ffffff";""
18;"A.S. JACQUES CARTIER ST MALO";500036;"#092669";"#ffffff";""
19;"F.C. DE ROUEN 1899";500037;"#dc143c";"#ffffff";""
20;"ASNIERES F.C.";500038;"#dc143c";"#092669";""
21;"U.S. LAVALLOISE";500040;"#092669";"#000000";""
22;"LA MELLINET DE NANTES";500041;"#ffffff";"#000000";""
23;"BORDEAUX ETUDIANTS C.";500042;"#dc143c";"#092669";""
24;"C.ML FLOIRAC";500045;"#FFD41C";"#dc143c";""
25;"S.A. SEZANNE";500046;"#FFD41C";"#092669";""
26;"AM.S. VITRE";500048;"#dc143c";"";""
27;"LORIENT SP.";500049;"#dc143c";"";""
28;"BOULOGNE BILLANCOURT AC";500051;"#FF6A00 ";"#ffffff";""
29;"LE HAVRE A.C.";500052;"";"";""
30;"LOSC LILLE ASSOCIATION";500054;"#dc143c";"#ffffff";""
31;"C.A. MARSEILLE PHENIX VALENTINOIS";500055;"#dc143c";"#ffffff";""
32;"U. S. LITTORAL DUNKERQUE";500056;"#092669";"#ffffff";""
33;"SP.C. LA BASTIDIENNE";500057;"#dc143c";"#ffffff";""
34;"A.S. TROUVILLE DEAUVILLE";500058;"#FFD41C";"#000000";""
35;"BORDEAUX A.C.";500060;"#006400";"#000000";""
36;"F.C. DIEPPE";500065;"#092669";"";""
37;"JUVISY ACADEMIE DE FOOTBALL DE L  ESSONNE";500072;"#ffffff";"#000000";""
38;"ESPE.S. TROYES AUBE CHAMPAGNE";500073;"#092669";"#ffffff";""
39;"ST. MALHERBE CAEN-CALV.B.NORM.";500075;"#092669";"#dc143c";""
40;"U.S. BOULOGNE COTE D OPALE";500077;"#dc143c";"#000000";""
41;"OLYMPIQUE LYONNAIS";500080;"#ffffff";"";""
42;"A.S.UNIV. LYON";500081;"#092669";"#dc143c";""
43;"O. DE MARSEILLE - O.M.";500083;"#ffffff";"#092669";""
44;"ST. BRIOCHIN";500087;"#FFD41C";"#092669";""
45;"F.C. ST LO MANCHE";500088;"#092669";"";""
46;"O. FC. DE RUELLE";500089;"#FFD41C";"#000000";""
47;"A.S. MONACO F.C.";500091;"#dc143c";"#ffffff";""
48;"U.S. PERS.ELECT.GAZ MARSEILLE";500092;"#092669";"#ffffff";""
49;"C.A. GOMBERTOIS";500094;"#092669";"#dc143c";""
50;"F.C. DE SETE";500095;"#006400";"#ffffff";""
51;"ST. MONTOIS";500097;"#FFD41C";"#000000";""
52;"LA BERRICHONNE DE CHATEAUROUX";500098;"#092669";"#dc143c";""
53;"MONTPELLIER HERAULT S.C.";500099;"#092669";"#FF6A00 ";""
54;"HYERES F.C.";500102;"#FFD41C";"#092669";""
55;"U.S. D  AVRANCHES MONT ST MICHEL";500105;"#092669";"";""
56;"S.O. CHOLETAIS";500106;"#dc143c";"#000000";""
57;"A.S. BEAUVAIS OISE";500108;"#dc143c";"#000000";""
58;"ST. CHARLES DE BLOIS GUINGAMP";500109;"#ffffff";"#092669";""
59;"C.A. BEGLAIS";500110;"#092669";"#ffffff";""
